year,sector,class,cfn_tle1,cfn_tle2,units,magnitude,source,data_value,flag
2014,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,121,F
2015,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,142,F
2016,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,122,F
2017,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,130,F
2018,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,133,F
2019,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,129,F
2020,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,123,F
2021,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,151,F
2022,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,180,P
2023,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,272,P
2009,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1,F
2010,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.8,F
2011,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.5,F
2012,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.9,F
2013,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,3.4,F
2014,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.2,F
2015,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.4,F
2016,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,3.9,F
2017,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.4,F
2018,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,3.3,F
2019,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.1,F
2020,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,2,F
2021,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.7,F
2022,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.5,P
2023,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.6,P
2009,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,29,F
2010,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,24,F
2011,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,39,F
2012,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,48,F
2013,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,113,F
2014,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,40,F
2015,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,46,F
2016,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,134,F
2017,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,48,F
2018,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,117,F
2019,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,45,F
2020,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,95,F
2021,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,88,F
2022,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,83,P
2023,Local government,"Flood, river, land and soil management",Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,109,P
2009,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,R
2009,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.8,R
2010,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,R
2010,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.5,R
2011,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,R
2011,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.5,R
2012,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,R
2012,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.5,R
2013,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,R
2013,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.8,R
2014,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,R
2014,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.5,R
2015,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,R
2015,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.6,R
2016,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,R
2016,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.6,R
2017,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,R
2017,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.7,R
2018,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,R
2018,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.7,R
2019,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,R
2019,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.7,R
2020,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,R
2020,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.7,R
2021,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,R
2021,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.7,R
2022,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,,P
2022,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,1.2,P
2023,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,0.8,P
2009,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,R
2009,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,33,R
2010,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,R
2010,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,23,R
2011,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,R
2011,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,24,R
2012,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,R
2012,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,26,R
2013,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,R
2013,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,41,R
2014,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,R
2014,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,27,R
2015,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,R
2015,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,32,R
2016,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,R
2016,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,33,R
2017,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,R
2017,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,41,R
2018,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,R
2018,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,43,R
2019,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,R
2019,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,44,R
2020,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,R
2020,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,50,R
2021,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,R
2021,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,122,R
2022,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,,P
2022,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,91,P
2023,Local government,Pest management,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,75,P
2009,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,R
2009,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,R
2010,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,R
2010,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,R
2011,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,R
2011,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,R
2012,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,R
2012,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,R
2013,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,R
2013,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,R
2014,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,R
2014,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,R
2015,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,R
2015,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,R
2016,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,R
2016,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,R
2017,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,R
2017,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,R
2018,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,R
2018,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,R
2019,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,R
2019,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,R
2020,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,R
2020,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,R
2021,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,R
2021,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,R
2022,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,,P
2022,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,P
2023,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0,P
2009,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,R
2009,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1,R
2010,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,R
2010,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1,R
2011,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,R
2011,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,R
2012,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,R
2012,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1,R
2013,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,R
2013,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1,R
2014,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,R
2014,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1,R
2015,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,R
2015,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,R
2016,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,R
2016,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,R
2017,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,R
2017,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,R
2018,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,R
2018,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,R
2019,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,R
2019,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,R
2020,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,R
2020,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1,R
2021,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,R
2021,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,R
2022,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,,P
2022,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,0,P
2023,Local government,Pest management,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,1,P
2009,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.8,F
2010,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.4,F
2011,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.9,F
2012,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.3,F
2013,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.7,F
2014,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3,F
2015,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3,F
2016,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.5,F
2017,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.9,F
2018,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,2.6,F
2019,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.6,F
2020,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.9,F
2021,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.8,F
2022,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.8,P
2023,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,3.9,P
2009,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,161,F
2010,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,146,F
2011,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,185,F
2012,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,168,F
2013,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,130,F
2014,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,150,F
2015,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,157,F
2016,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,193,F
2017,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,164,F
2018,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,160,F
2019,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,234,F
2020,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,274,F
2021,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,275,F
2022,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,300,P
2023,Local government,Solid waste/refuse,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,367,P
2009,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,2.1,F
2010,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.7,F
2011,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,1.4,F
2012,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.9,F
2013,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.6,F
2014,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.2,F
2015,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.3,F
2016,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.8,F
2017,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.5,F
2018,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.2,F
2019,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.3,F
2020,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.8,F
2021,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.6,F
2022,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.7,P
2023,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Proportion,Actual,Environmental Accounts,0.8,P
2009,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,62,F
2010,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,22,F
2011,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,36,F
2012,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,23,F
2013,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,19,F
2014,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,5,F
2015,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,12,F
2016,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,29,F
2017,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,17,F
2018,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,9,F
2019,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,14,F
2020,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,39,F
2021,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,31,F
2022,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,40,P
2023,Local government,Solid waste/refuse,Environmental protection expenditure,Gross fixed capital formation,Dollars,Millions,Environmental Accounts,53,P
2009,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,21.1,F
2010,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,18.7,F
2011,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,19.7,F
2012,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,18.4,F
2013,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,20.2,F
2014,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,20.1,F
2015,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,19.4,F
2016,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,19.3,F
2017,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,19.7,F
2018,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,18.8,F
2019,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,19.5,F
2020,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,19.4,F
2021,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,20.6,F
2022,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,20.5,P
2023,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Proportion,Actual,Environmental Accounts,20.7,P
2009,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,901,F
2010,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,812,F
2011,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,928,F
2012,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,926,F
2013,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,984,F
2014,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,999,F
2015,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1003,F
2016,Local government,Total,Environmental protection expenditure,Final consumption expenditure,Dollars,Millions,Environmental Accounts,1058,F
